"ItemID","Path","FieldId","Key","Phrase","TranslatedPhrase"
"{7AE883C7-E0DC-4C87-BF57-15558ADF1A2B}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/Use special tree syntax","__Display name","Use special tree syntax","Use source query to restrict the results on Treelists, DropTrees, and TreelistEx",""
"{5E0F7528-C46F-417A-8402-FD0C2C6E482D}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/Use the Help and Title for fields","__Short description","Use the Help and Title for fields","Report on templates with fields missing Help and Title text. Filter by a root item.",""
"{5E0F7528-C46F-417A-8402-FD0C2C6E482D}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Solution Audit/Use the Help and Title for fields","__Display name","Use the Help and Title for fields","Use the Help and Title option in the individual field definition",""
"{1876D433-4FAE-46B2-B2EF-AAA0FDA110E7}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Authoring Instrumentation/Content Editor/Context Menu/Author Statistics","__Short description","Author Statistics","Report all of the items updated by each author, starting with the selected item.",""
"{F8573830-393A-45B1-8856-DCCE48EB5E92}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Authoring Instrumentation/Content Editor/Context Menu/Publish My Items","__Short description","Publish My Items","Publish all items last updated by me, starting first with the selected item.",""
"{20D867D5-584B-4494-99A8-0511667E9BEB}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Authoring Instrumentation/Content Editor/Context Menu/Recent Author Activity","__Short description","Recent Author Activity","Review items that have been modified by authors with a given time range.",""
"{8E5FDEAE-4C9D-4A8B-A58B-A5D2C0CF9128}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Copy Renderings/Content Editor/Context Menu/Layout","__Short description","Layout","Copy and paste renderings from one item to another.",""
"{D9572667-4EB7-4D57-B730-0B52B2094BB9}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Data Management/Toolbox/Data Management/Bulk Data Generator","__Short description","Bulk Data Generator","Generate test users and data in bulk.",""
"{469FAEB8-6FD3-42E8-B44F-4D4ACDA869E5}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Data Management/Toolbox/Data Management/Data Importer","__Short description","Data Importer","Import a file to add or updated items in bulk.",""
"{B15E5729-2E38-43F1-A725-CDD376F9E8C0}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Data Management/Toolbox/Data Management/Find and Replace","__Short description","Find and Replace","Find items matching text and replace.",""
"{C83CC1EE-A860-4E64-9715-E9C3BBB885F0}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Package Generator/Content Editor/Context Menu/Packaging","__Short description","Packaging","Package up items for distribution.",""
"{448D3126-B424-49DE-BF8B-24E17D1AE279}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Internal/List View/Export/CSV","__Short description","CSV","Export the report results in the csv format.",""
"{5035E6E4-53D3-4778-A0F5-6246BAE6F76D}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Internal/List View/Export/Excel","__Short description","Excel","Export the report results in the xlsx format.",""
"{132E6B5D-0190-4599-8A28-C5336B3E69B4}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Internal/List View/Export/HTML","__Short description","HTML","Export the report results in the html format.",""
"{E760C50A-9555-40D3-A547-D7E78CF555DD}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Internal/List View/Export/JSON","__Short description","JSON","Export the report results in the json format.",""
"{6EC0BB6E-5D84-4932-A9D6-C8574D5A9EED}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Internal/List View/Export/XML","__Short description","XML","Export the report results in the xml format.",""
"{8E1DBC83-6763-4E1B-9C08-1D377C98DF88}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Internal/List View/Export/Email","__Short description","Email","Email the report results as an attachment.",""
"{CC45B728-3141-4B2D-BC6E-CA74EE04AED2}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Copy Renderings/Content Editor/Context Menu/Layout/Copy Renderings","__Short description","Copy Renderings","Copy all of the renderings for the selected item.",""
"{AFA7A862-9433-4EFE-ACA4-487A35CA0B6C}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Copy Renderings/Content Editor/Context Menu/Layout/Paste Renderings","__Short description","Paste Renderings","Paste all of the renderings recently copied to the selected item.",""
"{E6F6FCAA-644A-418C-A5F2-19352D66A260}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Package Generator/Content Editor/Context Menu/Packaging/Start New Package","__Short description","Start New Package","Create a new package session.",""
"{A6D3CE99-9BDE-4344-911D-CFB3FB742DE6}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Package Generator/Content Editor/Context Menu/Packaging/Add Item to Package","__Short description","Add Item to Package","Add the selected item to the package.",""
"{E6B36111-8411-414B-A7E9-58E75B365EA7}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Package Generator/Content Editor/Context Menu/Packaging/Add Tree to Package","__Short description","Add Tree to Package","Add the selected tree to the package.",""
"{6B51CBC9-C706-4155-B365-684C33F4AF8A}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Package Generator/Content Editor/Context Menu/Packaging/Preview Package Items","__Short description","Preview Package Items","Review the items selected for packaging.",""
