"ItemID","Path","FieldId","Key","Phrase","TranslatedPhrase"
"{CA6D3559-F12F-4429-BED6-EBB231307347}","/sitecore/system/Dictionary/PowerShell/W/Working","Phrase","Working","Working","Arbejder"
"{7F13C623-6961-46AF-9F6E-BBF767D73FE1}","/sitecore/system/Dictionary/PowerShell/Y/You have temporarily enabled script execution","Phrase","You have temporarily enabled script execution","You have temporarily enabled script execution.","Du har midlertidigt slået scriptudførelse til."
"{666237D3-38AC-4E2E-BABF-E79A9B310432}","/sitecore/content/Applications/PowerShell/PowerShellIse/Meta/Edit","Header","Edit","Script runtime settings","Opsætning af script runtime"
"{25C829E2-02B8-4132-8065-4F8606960AB4}","/sitecore/content/Applications/PowerShell/PowerShellIse/Meta/EditConsoleSettings","Header","EditConsoleSettings","Script runtime settings","Opsætning af script runtime"
"{0FE8E7FE-13A8-4983-9BCA-3F88AEF37C65}","/sitecore/content/Applications/PowerShell/PowerShellIse/Meta/EditIseSettings","Header","EditIseSettings","Script runtime settings","Opsætning af script runtime"
"{693B043E-B20B-4C2F-86A8-786161D08DAB}","/sitecore/content/Applications/PowerShell/PowerShellIse/Ribbon/Script","Header","Script","Home","Hjem"
"{40D0A766-25D1-4B84-B20C-8BE9F2E54D53}","/sitecore/content/Applications/PowerShell/PowerShellIse/Ribbon/Settings","Header","Settings","Settings","Opsætning"
"{A76FB1C3-4D26-4623-BB7D-8A1A0D1AE08C}","/sitecore/content/Applications/PowerShell/PowerShellIse/Ribbon/Plugins","Header","Plugins","Plugins","Plugins"
"{A7427E18-C044-4AEE-863F-99E44F82F2A6}","/sitecore/content/Applications/PowerShell/PowerShellIse/Ribbon/Debug","Header","Debug","Debug","Debug"
"{9410D5DD-186B-4CD7-ACB2-D2F3A464EFFF}","/sitecore/content/Applications/PowerShell/PowerShellListView/Ribbon/Results","Header","Results","Write","Skriv"
"{B76D2B94-6CA9-4936-92BB-C9377101493C}","/sitecore/content/Applications/PowerShell/PowerShellIse/Menus/Context/Do not set location","Display name","Do not set location","Do not set location","Sæt ikke placering"
"{B8B685AD-C208-444B-A5E7-F8B9F48431CE}","/sitecore/content/Applications/PowerShell/PowerShellIse/Menus/Execute/Execute in a background job","Display name","Execute in a background job","Execute in a background job","Eksekver som et job i baggrunden"
"{FDDE4730-06FA-46EA-AAD5-DB3C225E3851}","/sitecore/content/Applications/PowerShell/PowerShellIse/Menus/Execute/Execute in http request context","Display name","Execute in http request context","Execute in http request context","Eksekver i http forespøgselskontekst"
"{B808BFE9-0E2E-459C-B437-12326938097D}","/sitecore/content/Applications/PowerShell/PowerShellIse/Menus/Integrations/Content Editor Contextual Ribbon","Display name","Content Editor Contextual Ribbon","Sync Library with Content Editor Contextual Ribbon","Synkroniser bibliotek med indholdseditorens kontekstuelle værktøjslinie"
"{F5CA0BD1-BFD8-4253-AA80-7A4F352E8AC2}","/sitecore/content/Applications/PowerShell/PowerShellIse/Menus/Integrations/Content Editor Gutter","Display name","Content Editor Gutter","Sync Library with Content Editor Gutter","Synkroniser bibliotek med indholdseditorens træstruktur"
"{E4108F18-9ADE-4D01-B746-4ECE9985EA21}","/sitecore/content/Applications/PowerShell/PowerShellIse/Menus/Integrations/Content Editor Ribbon","Display name","Content Editor Ribbon","Sync Library with Content Editor Ribbon","Synkroniser bibliotek med indholdseditorens værktøjslinie"
"{0C9FBBE4-B629-49A6-B0ED-38F1CBED5ADC}","/sitecore/content/Applications/PowerShell/PowerShellIse/Menus/Integrations/Control Panel","Display name","Control Panel","Sync Library with Control Panel","Synkroniser bibliotek med kontrolpanelet"
"{B0E0FEA4-D27B-4C72-96C4-0241FF0B3F01}","/sitecore/content/Applications/PowerShell/PowerShellIse/Menus/Languages/Current language","Display name","Current language","Current language","Aktuelle sprog"
"{8E6A8C78-B72C-47C7-A68B-94D3B9753531}","/sitecore/content/Applications/PowerShell/PowerShellIse/Menus/New/New Module","Display name","New Module","New Module","Nyt modul"
"{58ADC7A6-2BF4-4A26-8604-7D61117AB650}","/sitecore/content/Applications/PowerShell/PowerShellIse/Menus/Save/Save As","Display name","Save As","Save As...","Gem som..."
"{B22817A1-89E7-4B0B-805E-E655711F47CA}","/sitecore/content/Applications/PowerShell/PowerShellIse/Menus/Sessions/ISE editing session","Display name","ISE editing session","Keep ISE session between script executions","Bevar ISE sessionen mellem udførelsen af scripts"
"{3597EC4E-D513-4754-A9C7-04666E6545EB}","/sitecore/content/Applications/PowerShell/PowerShellIse/Menus/Sessions/Script defined","Display name","Script defined","Script defined","Scriptdefinition"
"{BA5B0AF4-AAA1-46D6-9CB6-C53A77F05EAA}","/sitecore/content/Applications/PowerShell/PowerShellIse/Menus/Sessions/Single execution","Display name","Single execution","Dispose session after script execution","Luk session efter udførelsen af script"
"{731EE1E0-C10D-4DEE-95B8-BB7E25CCC3B8}","/sitecore/content/Applications/PowerShell/PowerShellIse/Menus/Settings/Console","Display name","Console","Console","Konsol"
"{41E314FF-B78E-4E5D-A01C-17DC0306C209}","/sitecore/content/Applications/PowerShell/PowerShellIse/Menus/Settings/ISE","Display name","ISE","ISE","ISE"
"{40B7C90D-8457-447C-92A6-0DCA5CA0C3DF}","/sitecore/content/Applications/PowerShell/PowerShellIse/Menus/Settings/Results","Display name","Results","Results","Resultat"
"{EB85226A-2E90-4921-9404-358FDF05F65D}","/sitecore/content/Applications/PowerShell/PowerShellIse/Menus/Users/Current user","Display name","Current user","Current user","Aktuelle bruger"
"{D6C55BB3-43D3-4516-A1A9-9836702B29FE}","/sitecore/content/Applications/PowerShell/PowerShellIse/Ribbon/Script/Write","Header","Write","Write","Skriv"
"{FC5B9682-5BAD-4412-96EA-BB0C9AA457CF}","/sitecore/content/Applications/PowerShell/PowerShellIse/Ribbon/Script/Script","Header","Script","Script Execution","Udførelse af script"
"{4C794DE3-FA37-46E2-AFEC-FD458211C11A}","/sitecore/content/Applications/PowerShell/PowerShellIse/Ribbon/Script/Context","Header","Context","Context","Kontekst"
"{2BF02911-1244-4AB8-A3C9-9BE70A8B51CD}","/sitecore/content/Applications/PowerShell/PowerShellIse/Ribbon/Script/ContextEx","Header","ContextEx","UI Context","UI kontekst"
"{06C34C75-3F9D-4DA7-B435-16F96D79CD23}","/sitecore/content/Applications/PowerShell/PowerShellIse/Ribbon/Script/Info","Header","Info","Info","Info"
"{58B6A738-B732-4855-B4EC-302B7BF61CB1}","/sitecore/content/Applications/PowerShell/PowerShellIse/Ribbon/Settings/Preferences","Header","Preferences","Preferences","Indstillinger"
"{EE616FC9-E971-40C6-B357-5EE53C2D0DAA}","/sitecore/content/Applications/PowerShell/PowerShellIse/Ribbon/Settings/Integration","Header","Integration","Integration","Integrationer"
